"Network","UnitCode","SiteCode","StartDate","Year","QAQC","PlotName","CommunityType","ScientificName","CommonName","SpeciesCode","Damage","No.Damage","Subsampled"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A3","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,4,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"A3","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,14,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"A3","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,18,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"A3","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",1,27,NA
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"A3","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,19,NA
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A3","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,59,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A3","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",2,20,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A3","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"A3","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,54,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"A3","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,10,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"A3","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",5,66,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"A3","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",2,20,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"A3","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,4,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"A3","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,137,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"A3","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,49,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A3","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,7,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A3","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,30,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A3","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,37,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A3","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,1,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A3","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",4,81,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A3","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,26,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A3","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,3,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A3","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",5,26,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A3","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",1,5,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"A3","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",6,81,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"A3","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,12,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"A4","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,20,"Yes"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"A4","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",1,6,"Yes"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A4","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",1,29,"Yes"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A4","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",5,15,"Yes"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A4","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"Yes"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"A4","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,35,"Yes"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"A4","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,22,"Yes"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"A4","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"Yes"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"A4","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",4,98,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"A4","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",2,27,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A4","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",5,113,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A4","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",1,52,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A4","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",1,1,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"A4","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",3,134,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"A4","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",1,19,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"A4","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",1,96,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"A4","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",2,11,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"A4","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"A4","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,2,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"A4","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,92,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"A4","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,37,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A4","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,5,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A4","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",9,124,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A4","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",1,54,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A4","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,2,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A4","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,78,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A4","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,29,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A4","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",1,0,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A4","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,3,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A4","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",24,75,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A4","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",3,12,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A4","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"A4","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",14,101,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"A4","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",3,16,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"A5","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",1,22,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"A5","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,23,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A5","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",5,17,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A5","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",4,23,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"A5","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,49,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"A5","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,22,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"A5","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",1,65,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"A5","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,11,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A5","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",4,113,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A5","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",2,30,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"A5","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",4,62,NA
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"A5","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,14,NA
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"A5","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,2,NA
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"A5","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",1,65,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"A5","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",1,15,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"A5","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",1,93,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"A5","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,24,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A5","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,4,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A5","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",1,45,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A5","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,45,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A5","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",3,45,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A5","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",1,21,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A5","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A5","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,3,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A5","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",5,45,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A5","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,4,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"A5","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",14,74,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"A5","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",2,7,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"B1","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,1,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"B1","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"B1","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"B1","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,3,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"B1","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",4,40,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"B1","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",1,0,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B1","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,5,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B1","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,40,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B1","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,8,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"B1","Barnacle","Littorina littorea","Common periwinkle","LITLIT",1,12,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"B1","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,17,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B1","Barnacle","Littorina littorea","Common periwinkle","LITLIT",6,47,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B1","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",7,44,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B1","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,5,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B1","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,27,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B1","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,44,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B1","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B1","Barnacle","Carcinus maenas","Green crab","CARMAE",0,2,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B1","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,21,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B1","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,53,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B1","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,2,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B1","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,2,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B1","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,35,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B1","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,75,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B1","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,7,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B1","Barnacle","Littorina littorea","Common periwinkle","LITLIT",3,46,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B1","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,15,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B1","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B1","Barnacle","Littorina littorea","Common periwinkle","LITLIT",1,18,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B1","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",1,7,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"B2","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,1,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"B2","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,1,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"B2","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,2,"No"
