"SiteCode","Year","QAQC","CommunityType","CoverType","CoverCode","avg_cover","med_cover","se_cover"
"SHIHAR",2014,FALSE,"Fucus","Crustose non-coralline","NONCOR",1.8,1,0.860232526704263
"SHIHAR",2015,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",98.6,100,0.871779788708135
"SHIHAR",2015,FALSE,"Fucus","Barnacle","BARSPP",1,0,0.632455532033676
"SHIHAR",2016,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",99.6,100,0.4
"SHIHAR",2017,FALSE,"Fucus","Red algae group","REDGRP",0.2,0,0.2
"SHIHAR",2017,FALSE,"Fucus","Barnacle","BARSPP",0.4,0,0.244948974278318
"SHIHAR",2017,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",88.8,90,2.6343879744639
"SHIHAR",2017,FALSE,"Fucus","Crustose non-coralline","NONCOR",1,1,0.547722557505166
"SHIHAR",2018,FALSE,"Fucus","Crustose non-coralline","NONCOR",1.8,1,0.916515138991168
"SHIHAR",2018,FALSE,"Fucus","Barnacle","BARSPP",0.2,0,0.2
"SHIHAR",2018,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",92.4,95,3.09192496674806
"SHIHAR",2019,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",94.2,96,1.77200451466693
"SHIHAR",2019,FALSE,"Fucus","Barnacle","BARSPP",0.4,0,0.4
"SHIHAR",2019,FALSE,"Fucus","A. nodosum (knotted wrack)","ASCNOD",0.4,0,0.244948974278318
"SHIHAR",2019,FALSE,"Fucus","Crustose non-coralline","NONCOR",1,1,0.447213595499958
"SHIHAR",2019,FALSE,"Fucus","Red algae group","REDGRP",0.4,0,0.4
"SHIHAR",2021,FALSE,"Fucus","Crustose non-coralline","NONCOR",0.4,0,0.244948974278318
"SHIHAR",2021,FALSE,"Fucus","Barnacle","BARSPP",0.8,0,0.58309518948453
"SHIHAR",2021,FALSE,"Fucus","Red algae group","REDGRP",0.8,0,0.58309518948453
"SHIHAR",2021,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",93.6,93,1.80554700852678
"SHIHAR",2021,FALSE,"Fucus","A. nodosum (knotted wrack)","ASCNOD",0.8,1,0.374165738677394
"SHIHAR",2022,FALSE,"Fucus","Crustose non-coralline","NONCOR",0.8,1,0.374165738677394
"SHIHAR",2022,FALSE,"Fucus","Barnacle","BARSPP",2.6,2,1.0770329614269
"SHIHAR",2022,FALSE,"Fucus","Red algae group","REDGRP",3.2,1,1.59373774505092
"SHIHAR",2022,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",70.6,71,1.72046505340853
"SHIHAR",2023,FALSE,"Fucus","Crustose non-coralline","NONCOR",2,2,0.632455532033676
"SHIHAR",2023,FALSE,"Fucus","Red algae group","REDGRP",0.8,1,0.374165738677394
"SHIHAR",2023,FALSE,"Fucus","Barnacle","BARSPP",1,0,0.774596669241483
"SHIHAR",2023,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",87.6,88,1.20830459735946
"SHIHAR",2024,FALSE,"Fucus","Red algae group","REDGRP",0.8,1,0.374165738677394
"SHIHAR",2024,FALSE,"Fucus","Crustose non-coralline","NONCOR",0.8,1,0.2
"SHIHAR",2024,FALSE,"Fucus","Barnacle","BARSPP",0.6,0,0.4
"SHIHAR",2024,FALSE,"Fucus","Fucus spp. (Rockweed)","FUCSPP",87,88,1.87082869338697
"SHIHAR",2013,FALSE,"Red Algae","Red algae group","REDGRP",73.4,72,5.30659966456864
"SHIHAR",2013,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",0.4,0,0.4
"SHIHAR",2014,FALSE,"Red Algae","Red algae group","REDGRP",73.4,79,5.14392845984467
"SHIHAR",2014,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",1,0,1
"SHIHAR",2015,FALSE,"Red Algae","Red algae group","REDGRP",64.4,62,3.70944739819828
"SHIHAR",2015,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",5.2,0,3.55527776692624
"SHIHAR",2016,FALSE,"Red Algae","Red algae group","REDGRP",76,79,4.81663783151692
"SHIHAR",2016,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",4.4,3,2.20454076850486
"SHIHAR",2017,FALSE,"Red Algae","Red algae group","REDGRP",38.6,37,4.80208288141719
"SHIHAR",2017,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",4,1,3.50713558335004
"SHIHAR",2018,FALSE,"Red Algae","Crustose non-coralline","NONCOR",0.6,0,0.6
"SHIHAR",2018,FALSE,"Red Algae","Red algae group","REDGRP",48.2,48,11.689311356962
"SHIHAR",2018,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",23.2,7,14.3122325302519
"SHIHAR",2019,FALSE,"Red Algae","Red algae group","REDGRP",60.4,64,4.41134900002256
"SHIHAR",2019,FALSE,"Red Algae","Crustose non-coralline","NONCOR",0.4,0,0.4
"SHIHAR",2019,FALSE,"Red Algae","A. nodosum (knotted wrack)","ASCNOD",0.2,0,0.2
"SHIHAR",2019,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",14.2,5,6.77790528113222
"SHIHAR",2021,FALSE,"Red Algae","Red algae group","REDGRP",62.2,57,9.18368117913509
"SHIHAR",2021,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",9.2,0,7.36478105580879
"SHIHAR",2022,FALSE,"Red Algae","Red algae group","REDGRP",53.8,58,7.85748051222528
"SHIHAR",2022,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",0.2,0,0.2
"SHIHAR",2023,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",12.2,0,9.11262859991561
"SHIHAR",2023,FALSE,"Red Algae","Crustose non-coralline","NONCOR",0.8,0,0.8
"SHIHAR",2023,FALSE,"Red Algae","Red algae group","REDGRP",44.2,37,6.7483331275212
"SHIHAR",2024,FALSE,"Red Algae","Red algae group","REDGRP",55.2,59,7.01712191713953
"SHIHAR",2024,FALSE,"Red Algae","Fucus spp. (Rockweed)","FUCSPP",8.8,2,4.67332857821917
